SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,4,DSDV,7.5
1,0,0,4,DSDV,7.5
2,0,0,4,DSDV,7.5
3,0,0,4,DSDV,7.5
4,0,0,4,DSDV,7.5
5,0,0,4,DSDV,7.5
6,0,0,4,DSDV,7.5
7,0,0,4,DSDV,7.5
8,0,0,4,DSDV,7.5
9,0,0,4,DSDV,7.5
10,0,0,4,DSDV,7.5
11,0,0,4,DSDV,7.5
12,0,0,4,DSDV,7.5
13,0,0,4,DSDV,7.5
14,0,0,4,DSDV,7.5
15,0,0,4,DSDV,7.5
16,0,0,4,DSDV,7.5
17,0,0,4,DSDV,7.5
18,0,0,4,DSDV,7.5
19,0,0,4,DSDV,7.5
20,0,0,4,DSDV,7.5
21,0,0,4,DSDV,7.5
22,0,0,4,DSDV,7.5
23,0,0,4,DSDV,7.5
24,0,0,4,DSDV,7.5
25,0,0,4,DSDV,7.5
26,0,0,4,DSDV,7.5
27,0,0,4,DSDV,7.5
28,0,0,4,DSDV,7.5
29,0,0,4,DSDV,7.5
30,0,0,4,DSDV,7.5
31,0,0,4,DSDV,7.5
32,0,0,4,DSDV,7.5
33,0,0,4,DSDV,7.5
34,0,0,4,DSDV,7.5
35,0,0,4,DSDV,7.5
36,0,0,4,DSDV,7.5
37,0,0,4,DSDV,7.5
38,0,0,4,DSDV,7.5
39,0,0,4,DSDV,7.5
40,0,0,4,DSDV,7.5
41,0,0,4,DSDV,7.5
42,0,0,4,DSDV,7.5
43,0,0,4,DSDV,7.5
44,0,0,4,DSDV,7.5
45,0,0,4,DSDV,7.5
46,0,0,4,DSDV,7.5
47,0,0,4,DSDV,7.5
48,0,0,4,DSDV,7.5
49,0,0,4,DSDV,7.5
50,0,0,4,DSDV,7.5
51,0,0,4,DSDV,7.5
52,0,0,4,DSDV,7.5
53,0,0,4,DSDV,7.5
54,0,0,4,DSDV,7.5
55,0,0,4,DSDV,7.5
56,0,0,4,DSDV,7.5
57,0,0,4,DSDV,7.5
58,0,0,4,DSDV,7.5
59,0,0,4,DSDV,7.5
60,0,0,4,DSDV,7.5
61,0,0,4,DSDV,7.5
62,0,0,4,DSDV,7.5
63,0,0,4,DSDV,7.5
64,0,0,4,DSDV,7.5
65,0,0,4,DSDV,7.5
66,0,0,4,DSDV,7.5
67,0,0,4,DSDV,7.5
68,0,0,4,DSDV,7.5
69,0,0,4,DSDV,7.5
70,0,0,4,DSDV,7.5
71,0,0,4,DSDV,7.5
72,0,0,4,DSDV,7.5
73,0,0,4,DSDV,7.5
74,0,0,4,DSDV,7.5
75,0,0,4,DSDV,7.5
76,0,0,4,DSDV,7.5
77,0,0,4,DSDV,7.5
78,0,0,4,DSDV,7.5
79,0,0,4,DSDV,7.5
80,0,0,4,DSDV,7.5
81,0,0,4,DSDV,7.5
82,0,0,4,DSDV,7.5
83,0,0,4,DSDV,7.5
84,0,0,4,DSDV,7.5
85,0,0,4,DSDV,7.5
86,0,0,4,DSDV,7.5
87,0,0,4,DSDV,7.5
88,0,0,4,DSDV,7.5
89,0,0,4,DSDV,7.5
90,0,0,4,DSDV,7.5
91,0,0,4,DSDV,7.5
92,0,0,4,DSDV,7.5
93,0,0,4,DSDV,7.5
94,0,0,4,DSDV,7.5
95,0,0,4,DSDV,7.5
96,0,0,4,DSDV,7.5
97,0,0,4,DSDV,7.5
98,0,0,4,DSDV,7.5
99,0,0,4,DSDV,7.5
100,0,0,4,DSDV,7.5
101,1.536,3,4,DSDV,7.5
102,2.048,4,4,DSDV,7.5
103,2.048,4,4,DSDV,7.5
104,2.048,4,4,DSDV,7.5
105,2.048,4,4,DSDV,7.5
106,2.048,4,4,DSDV,7.5
107,2.048,4,4,DSDV,7.5
108,2.048,4,4,DSDV,7.5
109,2.048,4,4,DSDV,7.5
110,2.048,4,4,DSDV,7.5
111,2.048,4,4,DSDV,7.5
112,4.608,9,4,DSDV,7.5
113,0,0,4,DSDV,7.5
114,0,0,4,DSDV,7.5
115,0,0,4,DSDV,7.5
116,0,0,4,DSDV,7.5
117,0,0,4,DSDV,7.5
118,0,0,4,DSDV,7.5
119,0,0,4,DSDV,7.5
120,0,0,4,DSDV,7.5
121,0,0,4,DSDV,7.5
122,0,0,4,DSDV,7.5
123,0,0,4,DSDV,7.5
124,0,0,4,DSDV,7.5
125,0,0,4,DSDV,7.5
126,0,0,4,DSDV,7.5
127,0,0,4,DSDV,7.5
128,0,0,4,DSDV,7.5
129,0,0,4,DSDV,7.5
130,0,0,4,DSDV,7.5
131,0,0,4,DSDV,7.5
132,0,0,4,DSDV,7.5
133,0,0,4,DSDV,7.5
134,0,0,4,DSDV,7.5
135,0,0,4,DSDV,7.5
136,4.096,8,4,DSDV,7.5
137,4.096,8,4,DSDV,7.5
138,4.096,8,4,DSDV,7.5
139,4.096,8,4,DSDV,7.5
140,3.584,7,4,DSDV,7.5
141,2.048,4,4,DSDV,7.5
142,2.048,4,4,DSDV,7.5
143,2.048,4,4,DSDV,7.5
144,2.048,4,4,DSDV,7.5
145,2.048,4,4,DSDV,7.5
146,2.048,4,4,DSDV,7.5
147,2.048,4,4,DSDV,7.5
148,2.048,4,4,DSDV,7.5
149,2.048,4,4,DSDV,7.5
150,2.048,4,4,DSDV,7.5
151,2.048,4,4,DSDV,7.5
152,2.048,4,4,DSDV,7.5
153,2.048,4,4,DSDV,7.5
154,2.048,4,4,DSDV,7.5
155,2.048,4,4,DSDV,7.5
156,2.048,4,4,DSDV,7.5
157,3.584,7,4,DSDV,7.5
158,4.096,8,4,DSDV,7.5
159,4.096,8,4,DSDV,7.5
160,4.096,8,4,DSDV,7.5
161,4.096,8,4,DSDV,7.5
162,4.096,8,4,DSDV,7.5
163,4.096,8,4,DSDV,7.5
164,3.584,7,4,DSDV,7.5
165,2.048,4,4,DSDV,7.5
166,2.048,4,4,DSDV,7.5
167,2.048,4,4,DSDV,7.5
168,2.048,4,4,DSDV,7.5
169,2.048,4,4,DSDV,7.5
